numero_asociado,ramo_industrial,clave_del_producto,estado,fecha_factura
105225,M4,CAS012002,Pendiente,
105225,M4,CAS012003,Pendiente,
105225,M4,CAS012004,Pendiente,
105225,M4,CAS012005,Pendiente,
105225,M4,CAS012006,Pendiente,
105228,M6,CAS012001,Pendiente,
105229,M9,CAS012002,Pendiente,
105229,M9,CAS012003,Pendiente,
105229,M9,CAS012004,Pendiente,
105229,M9,CAS012005,Pendiente,
105229,M9,CAS012006,Pendiente,
105231,M2,CAS012001,Pendiente,
105231,M2,CAS012002,Pendiente,
105231,M2,CAS012003,Pendiente,
105231,M2,CAS012004,Pendiente,
105231,M2,CAS012005,Pendiente,
105231,M2,CAS012006,Pendiente,
105231,M2,CAS012007,Pendiente,
105235,M4,CAS011992,Pendiente,
105235,M4,CAS011995,Pendiente,
105235,M4,CAS011997,Pendiente,
105235,M4,CAS011998,Pendiente,
105235,M4,CAS011999,Pendiente,
105235,M4,CAS012000,Pendiente,
105235,M4,CAS012001,Pendiente,
105235,M4,CAS012002,Pendiente,
105235,M4,CAS012003,Pendiente,
105235,M4,CAS012004,Pendiente,
105235,M4,CAS012005,Pendiente,
105235,M4,CAS012006,Pendiente,
105237,M9,CAS012003,Pendiente,
105237,M9,CAS012004,Pendiente,
105237,M9,CAS012005,Pendiente,
105237,M9,CAS012006,Pendiente,
105238,M4,CAS011995,Pendiente,
105238,M4,CAS011996,Pendiente,
105238,M4,CAS011997,Pendiente,
105238,M4,CAS011998,Pendiente,
105238,M4,CAS012001,Pendiente,
105238,M4,CAS012002,Pendiente,
105238,M4,CAS012003,Pendiente,
105238,M4,CAS012004,Pendiente,
105238,M4,CAS012005,Pendiente,
105238,M4,CAS012006,Pendiente,
105241,M1,CAS012001,Pendiente,
105241,M1,CAS012002,Pendiente,
105241,M1,CAS012003,Pendiente,
105241,M1,CAS012004,Pendiente,
105241,M1,CAS012005,Pendiente,
105241,M1,CAS012006,Pendiente,
105242,M3,CAS011995,Pendiente,
105242,M3,CAS011996,Pendiente,
105242,M3,CAS011997,Pendiente,
105242,M3,CAS011998,Pendiente,
105242,M3,CAS011999,Pendiente,
105242,M3,CAS012000,Pendiente,
105242,M3,CAS012001,Pendiente,
105248,M4,CAS011995,Pendiente,
105248,M4,CAS011996,Pendiente,
105248,M4,CAS011997,Pendiente,
105248,M4,CAS011998,Pendiente,
105248,M4,CAS011999,Pendiente,
105248,M4,CAS012000,Pendiente,
105248,M4,CAS012001,Pendiente,
105248,M4,CAS012002,Pendiente,
105248,M4,CAS012003,Pendiente,
105248,M4,CAS012004,Pendiente,
105248,M4,CAS012005,Pendiente,
105248,M4,CAS012006,Pendiente,
105248,M4,CAS012007,Pendiente,
105251,M9,CAS011997,Pendiente,
105251,M9,CAS011998,Pendiente,
105251,M9,CAS011999,Pendiente,
105251,M9,CAS012000,Pendiente,
105251,M9,CAS012001,Pendiente,
105251,M9,CAS012002,Pendiente,
105251,M9,CAS012003,Pendiente,
105251,M9,CAS012004,Pendiente,
105251,M9,CAS012005,Pendiente,
105251,M9,CAS012006,Pendiente,
105254,M4,CAS012001,Pendiente,
105254,M4,CAS012002,Pendiente,
105254,M4,CAS012003,Pendiente,
105254,M4,CAS012004,Pendiente,
105254,M4,CAS012005,Pendiente,
105254,M4,CAS012006,Pendiente,
105256,M1,CAS011995,Pendiente,
105256,M1,CAS011996,Pendiente,
105256,M1,CAS011997,Pendiente,
105256,M1,CAS011998,Pendiente,
105256,M1,CAS011999,Pendiente,
105256,M1,CAS012000,Pendiente,
105256,M1,CAS012001,Pendiente,
105256,M1,CAS012002,Pendiente,
105256,M1,CAS012003,Pendiente,
105256,M1,CAS012004,Pendiente,
105256,M1,CAS012005,Pendiente,
105256,M1,CAS012006,Pendiente,
105256,M1,CAS012007,Pendiente,
105257,M1,CAS012001,Pendiente,
105257,M1,CAS012002,Pendiente,
105257,M1,CAS012003,Pendiente,
105257,M1,CAS012004,Pendiente,
105257,M1,CAS012005,Pendiente,
105257,M1,CAS012006,Pendiente,
105257,M1,CAS012007,Pendiente,
105259,M4,CAS012001,Pendiente,
105259,M4,CAS012002,Pendiente,
105259,M4,CAS012003,Pendiente,
105259,M4,CAS012004,Pendiente,
105259,M4,CAS012005,Pendiente,
105259,M4,CAS012006,Pendiente,
105260,M10,CAS012001,Pendiente,
105260,M10,CAS012002,Pendiente,
105260,M10,CAS012003,Pendiente,
105260,M10,CAS012004,Pendiente,
105260,M10,CAS012005,Pendiente,
105260,M10,CAS012006,Pendiente,
105265,M4,CAS011995,Pendiente,
105265,M4,CAS011996,Pendiente,
105265,M4,CAS011997,Pendiente,
105265,M4,CAS011998,Pendiente,
105265,M4,CAS011999,Pendiente,
105265,M4,CAS012000,Pendiente,
105265,M4,CAS012001,Pendiente,
105265,M4,CAS012002,Pendiente,
105265,M4,CAS012003,Pendiente,
105265,M4,CAS012004,Pendiente,
105265,M4,CAS012005,Pendiente,
105265,M4,CAS012006,Pendiente,
105266,M4,CAS011995,Pendiente,
105266,M4,CAS011996,Pendiente,
105266,M4,CAS011997,Pendiente,
105266,M4,CAS011998,Pendiente,
105266,M4,CAS012001,Pendiente,
105266,M4,CAS012002,Pendiente,
105266,M4,CAS012003,Pendiente,
105266,M4,CAS012004,Pendiente,
105266,M4,CAS012005,Pendiente,
105266,M4,CAS012006,Pendiente,
105268,M4,CAS011999,Pendiente,
105268,M4,CAS012000,Pendiente,
105268,M4,CAS012001,Pendiente,
105268,M4,CAS012002,Pendiente,
105268,M4,CAS012003,Pendiente,
105268,M4,CAS012004,Pendiente,
105268,M4,CAS012005,Pendiente,
105268,M4,CAS012006,Pendiente,
105269,M4,CAS011995,Pendiente,
105269,M4,CAS011996,Pendiente,
105269,M4,CAS011997,Pendiente,
105269,M4,CAS011998,Pendiente,
105269,M4,CAS011999,Pendiente,
